date,store,item,category,price,base_price,promo,units_sold
2024-01-01,Store_A,Milk_1L,Dairy,51.7,50.0,0,135
2024-01-02,Store_A,Milk_1L,Dairy,50.0,50.0,0,123
2024-01-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,140
2024-01-04,Store_A,Milk_1L,Dairy,50.0,50.0,0,151
2024-01-05,Store_A,Milk_1L,Dairy,47.64,50.0,0,200
2024-01-06,Store_A,Milk_1L,Dairy,50.0,50.0,0,181
2024-01-07,Store_A,Milk_1L,Dairy,50.0,50.0,0,167
2024-01-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,137
2024-01-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,123
2024-01-10,Store_A,Milk_1L,Dairy,50.0,50.0,0,142
2024-01-11,Store_A,Milk_1L,Dairy,50.0,50.0,0,148
2024-01-12,Store_A,Milk_1L,Dairy,40.4,50.0,0,247
2024-01-13,Store_A,Milk_1L,Dairy,50.0,50.0,0,212
2024-01-14,Store_A,Milk_1L,Dairy,48.77,50.0,0,197
2024-01-15,Store_A,Milk_1L,Dairy,50.0,50.0,0,144
2024-01-16,Store_A,Milk_1L,Dairy,50.0,50.0,0,125
2024-01-17,Store_A,Milk_1L,Dairy,50.0,50.0,0,118
2024-01-18,Store_A,Milk_1L,Dairy,42.07,50.0,0,181
2024-01-19,Store_A,Milk_1L,Dairy,50.0,50.0,0,162
2024-01-20,Store_A,Milk_1L,Dairy,50.0,50.0,0,227
2024-01-21,Store_A,Milk_1L,Dairy,50.0,50.0,0,194
2024-01-22,Store_A,Milk_1L,Dairy,50.0,50.0,0,135
2024-01-23,Store_A,Milk_1L,Dairy,55.8,50.0,0,114
2024-01-24,Store_A,Milk_1L,Dairy,50.0,50.0,0,143
2024-01-25,Store_A,Milk_1L,Dairy,50.0,50.0,0,139
2024-01-26,Store_A,Milk_1L,Dairy,50.0,50.0,0,177
2024-01-27,Store_A,Milk_1L,Dairy,50.0,50.0,0,211
2024-01-28,Store_A,Milk_1L,Dairy,50.0,50.0,0,208
2024-01-29,Store_A,Milk_1L,Dairy,50.0,50.0,0,127
2024-01-30,Store_A,Milk_1L,Dairy,50.0,50.0,0,133
2024-01-31,Store_A,Milk_1L,Dairy,50.0,50.0,0,148
2024-02-01,Store_A,Milk_1L,Dairy,41.81,50.0,1,247
2024-02-02,Store_A,Milk_1L,Dairy,56.19,50.0,0,139
2024-02-03,Store_A,Milk_1L,Dairy,50.0,50.0,0,219
2024-02-04,Store_A,Milk_1L,Dairy,56.77,50.0,0,135
2024-02-05,Store_A,Milk_1L,Dairy,50.0,50.0,0,148
2024-02-06,Store_A,Milk_1L,Dairy,50.0,50.0,0,162
2024-02-07,Store_A,Milk_1L,Dairy,50.0,50.0,0,128
2024-02-08,Store_A,Milk_1L,Dairy,50.0,50.0,0,150
2024-02-09,Store_A,Milk_1L,Dairy,50.0,50.0,0,172
2024-02-10,Store_A,Milk_1L,Dairy,50.0,50.0,0,206
2024-02-11,Store_A,Milk_1L,Dairy,50.0,50.0,0,188
